Date,AAPL,AMZN,ATO,AVGO,BLDR,BRK-B,DECK,GOOGL,IAU,JPM,LLY,MA,META,MSFT,MTUM,NVDA,PTC,SHV,SPY,TLT,TRGP,TSLA,UNH,USO,V,XOM
2021-02-16,131.07412719726562,163.44749450683594,84.33815002441406,449.9815979003906,41.709999084472656,245.27999877929688,323.80999755859375,105.53500366210938,34.20000076293945,132.9662628173828,198.8291015625,335.4161071777344,273.9700012207031,237.32635498046875,170.81243896484375,152.957763671875,146.1300048828125,103.9640884399414,375.25567626953125,134.86383056640625,29.47264289855957,265.40667724609375,311.38323974609375,40.45000076293945,203.779541015625,46.372291564941406
2021-02-17,128.761474609375,165.4320068359375,85.54126739501953,443.8638916015625,41.220001220703125,245.25,323.6600036621094,105.93099975585938,33.84000015258789,133.37991333007812,199.50552368164062,331.6019592285156,273.57000732421875,238.36102294921875,169.35997009277344,148.7247772216797,144.19000244140625,103.9640884399414,375.341796875,135.7202606201172,29.425168991088867,266.04998779296875,313.5319519042969,40.88999938964844,203.3972930908203,47.09407043457031
2021-02-18,127.64942169189453,166.4114990234375,86.70738220214844,444.5814208984375,40.04999923706055,243.5,323.2300109863281,105.29049682617188,33.81999969482422,133.830322265625,194.34542846679688,332.71282958984375,269.3900146484375,237.96078491210938,168.16722106933594,147.95652770996094,143.2100067138672,103.9640884399414,373.7442932128906,135.17100524902344,28.057880401611328,262.4599914550781,315.0187072753906,40.27000045776367,205.20083618164062,46.354469299316406
2021-02-19,127.80685424804688,162.4949951171875,87.1685562133789,450.7452087402344,40.90999984741211,241.85000610351562,331.1600036621094,104.44049835205078,33.959999084472656,136.06405639648438,194.1521453857422,327.5126647949219,261.55999755859375,235.20823669433594,167.9556427001953,148.92933654785156,146.72999572753906,103.9640884399414,373.0842590332031,133.37435913085938,28.447174072265625,260.4333190917969,311.3448791503906,39.68000030517578,200.67237854003906,46.666343688964844
2021-02-22,123.99835968017578,159.03700256347656,83.30207061767578,438.2336730957031,41.380001068115234,244.97000122070312,328.0400085449219,102.71299743652344,34.459999084472656,137.34176635742188,193.92019653320312,334.8753967285156,260.3299865722656,228.90269470214844,161.96302795410156,143.23468017578125,142.9499969482422,103.9640884399414,370.2146301269531,132.35955810546875,28.83647346496582,238.1666717529297,314.2801208496094,41.279998779296875,204.19125366210938,48.38615036010742
2021-02-23,123.86058044433594,159.72500610351562,83.50701141357422,434.1306457519531,41.72999954223633,245.52999877929688,324.3500061035156,103.00599670410156,34.400001525878906,138.4448699951172,195.65960693359375,344.46966552734375,265.8599853515625,227.69235229492188,160.55870056152344,141.10198974609375,140.1300048828125,103.9640884399414,370.6642150878906,131.9779510498047,29.73850440979004,232.94667053222656,316.0738525390625,41.619998931884766,207.9061279296875,49.054466247558594
2021-02-24,123.35868072509766,157.97650146484375,82.61260223388672,442.3918762207031,42.400001525878906,248.4499969482422,331.4800109863281,104.19049835205078,34.36000061035156,140.88079833984375,197.630859375,361.0827941894531,264.30999755859375,228.94175720214844,161.66488647460938,144.6639404296875,142.3300018310547,103.9640884399414,374.74871826171875,131.1121826171875,30.90639877319336,247.33999633789062,318.6637268066406,42.5,215.08103942871094,50.52477264404297
2021-02-25,119.06793212890625,152.85800170898438,82.20267486572266,420.5704040527344,40.61000061035156,243.69000244140625,319.05999755859375,100.79750061035156,33.720001220703125,138.96881103515625,196.95445251464844,348.54925537109375,254.69000244140625,223.5146942138672,155.4414520263672,132.77574157714844,134.47999572753906,103.95468139648438,365.7188415527344,128.97100830078125,30.28921890258789,227.4066619873047,315.4599304199219,42.459999084472656,209.5135955810547,49.687137603759766
2021-02-26,119.33364868164062,154.64649963378906,78.8299560546875,432.26312255859375,43.27000045776367,240.50999450683594,326.1099853515625,101.09549713134766,32.880001068115234,135.28269958496094,197.98841857910156,347.8415222167969,257.6199951171875,226.82363891601562,156.69189453125,136.83660888671875,136.94000244140625,103.9640884399414,363.8344421386719,133.23464965820312,29.368194580078125,225.1666717529297,318.6733703613281,41.310001373291016,208.18057250976562,48.448524475097656
2021-03-01,125.75990295410156,157.3070068359375,79.89208221435547,450.3955993652344,44.84000015258789,249.2100067138672,331.5299987792969,103.48300170898438,32.84000015258789,138.34373474121094,199.51519775390625,356.7378234863281,264.9100036621094,231.2745819091797,161.50131225585938,138.1062469482422,142.2100067138672,103.9640884399414,372.6538391113281,131.4749755859375,30.441139221191406,239.47666931152344,321.0042419433594,40.599998474121094,212.33653259277344,50.25743865966797
